"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Pepsico Inc,3,Westinghouse Air Brake Technologies Corp,Alleghany Corp,"[
  ""Breach""
]",292
Pepsico Inc,2,Nasdaq Inc,Bmc Stock Holdings,"[
  ""Investigation""
]",1
Microsoft Corp,3,Sarepta Therapeutics,Solid Biosciences Inc,"[
  ""Clinical Trial""
]",5896
Alphabet Inc,3,Canadian Pacific Railway Ltd/Cn,Physicians Realty Trust,"[
  ""Breach Of Contract""
]",72
Alphabet Inc,2,Intercontinental Exchange,Varian Medical Systems Inc,"[
  ""Investigation""
]",1
Pepsico Inc,3,Terraform Power Inc,Sunedison Inc,"[
  ""Reorganization""
]",44892
Microsoft Corp,3,Xperi Corp,Asustek Computer Inc,"[
  ""Investigation"",
  ""Investigation""
]",2202
Alphabet Inc,3,Goldman Sachs Group Inc,Marcus Corp,"[
  ""Bankruptcy""
]",20808
Alphabet Inc,2,Nasdaq Inc,Clearside Biomedical Inc,"[
  ""Clinical Trial""
]",1
Alphabet Inc,3,Deutsche Telekom Ag,Proximus Sa De Droit Public,"[
  ""Investigation""
]",154
Pepsico Inc,2,Nasdaq Inc,Hallmark Financial Services Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Aimmune Therapeutics Inc,Builders Firstsource,"[
  ""Breach""
]",56284
Coca-Cola Company,3,Nasdaq Inc,Inmune Bio Inc,"[
  ""Clinical Trial""
]",440
Coca-Cola Company,3,Spring Bank Pharmaceuticals Inc,Easterly Government Properties,"[
  ""Investigation""
]",8700
Pepsico Inc,2,Nasdaq Inc,Yrc Worldwide,"[
  ""Bankruptcy""
]",1
Coca-Cola Company,3,Royal Bank Of Canada,New York Times Co,"[
  ""Fraud""
]",106962
Pepsico Inc,3,Amtrust Financial Services Inc,Maiden Holdings Ltd,"[
  ""Regulatory Investigation""
]",1243980
Pepsico Inc,2,Intercontinental Exchange,Centene Corp,"[
  ""Breach""
]",1
Pepsico Inc,2,Citigroup Inc,Compugen Ltd,"[
  ""Research""
]",1
Microsoft Corp,2,Nasdaq Inc,Otelco Inc,"[
  ""Breach""
]",1
Microsoft Corp,3,Davita Inc,Hcp Inc,"[
  ""Investigation""
]",11232
Microsoft Corp,3,Verso Corp,Cenveo Inc,"[
  ""Bankruptcy""
]",378
Microsoft Corp,3,Acm Research Inc,Apple Inc,"[
  ""Investigation""
]",219963263
Pepsico Inc,3,Soligenix Inc,Galera Therapeutics Inc,"[
  ""Investigation""
]",12
Coca-Cola Company,3,Catalent Inc,Trinet Group Inc,"[
  ""Investigation""
]",1437
Pepsico Inc,3,Clear Channel Outdoor Holdings,Iheartmedia Inc,"[
  ""Bankruptcy""
]",300
Pepsico Inc,2,Goldman Sachs Group Inc,Nextera Energy,"[
  ""Litigation""
]",2304
Microsoft Corp,2,Intercontinental Exchange,Intralinks Holdings Inc,"[
  ""Breach"",
  ""Breach""
]",24
Microsoft Corp,3,Nasdaq Inc,Universal Logistics Holdings Inc,"[
  ""Shutdown""
]",122
Microsoft Corp,3,Moodys Corp /De/,Foresight Energy Lp,"[
  ""Bankruptcy""
]",352
Microsoft Corp,3,Rubicon Project Inc,Appfolio Inc,"[
  ""Removal""
]",27
Alphabet Inc,3,Rimini Street Inc,Oracle Corp,"[
  ""Litigation""
]",995208
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Cold Spring Capital Inc,"[
  ""Investigation"",
  ""Investigation""
]",714
Pepsico Inc,2,Apollo Global Management Llc,Caesars Entertainment Corp,"[
  ""Breach Of Contract""
]",2640
Pepsico Inc,2,Nasdaq Inc,Fox Corporation,"[
  ""Investigation""
]",1
Microsoft Corp,3,Comcast Corp A,Dreamworks Animation Llc,"[
  ""Sanctions""
]",135132
Jp Morgan Chase And Co,3,Incyte Corp,Syndax Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",840
Jp Morgan Chase And Co,3,Enpro Industries Inc,Anchor Bancorp,"[
  ""Reorganization"",
  ""Reorganization""
]",256
Goldman Sachs Group Inc,3,Novo Nordisk A/S,Soleno Therapeutics Inc,"[
  ""Clinical Trial""
]",1744
Goldman Sachs Group Inc,3,Abbvie Inc,Evolus Inc,"[
  ""Investigation"",
  ""Investigation""
]",1404
Morgan Stanley International Holdings Inc,3,Crossamerica Partners Lp,Alimentation Couche-Tard Inc,"[
  ""Fraud""
]",84
Goldman Sachs Group Inc,3,Tenet Healthcare Corp,Universal Health Services Inc,"[
  ""Fraud""
]",30264
Goldman Sachs Group Inc,3,Luckin Coffee Inc,Iqiyi Inc,"[
  ""Investigation""
]",14526
Goldman Sachs Group Inc,3,Verastem Inc,Mei Pharma Inc,"[
  ""Clinical Trial""
]",31776
Morgan Stanley International Holdings Inc,3,Yelp Inc,Tripadvisor Inc,"[
  ""Investigation""
]",33462
Morgan Stanley International Holdings Inc,3,Ubs Group Ag,Galectin Therapeutics Inc,"[
  ""Research""
]",984
Goldman Sachs Group Inc,2,Jp Morgan Chase And Co,Ubs Group Ag,"[
  ""Breach""
]",10561
Microsoft Corp,3,Verso Corp,Kapstone Paper And Packaging Corp,"[
  ""Bankruptcy""
]",9
Morgan Stanley International Holdings Inc,3,Sony Corp,Eastman Kodak Co,"[
  ""Bankruptcy Protection""
]",26742
Goldman Sachs Group Inc,3,Huntsman Corp,Rockwood Holdings Inc,"[
  ""Breach Of Contract""
]",2160
Goldman Sachs Group Inc,3,Honeywell International Inc,Caesars Entertainment Corp,"[
  ""Bankruptcy""
]",33754
Jp Morgan Chase And Co,3,United Technologies Corp,Raytheon Co/,"[
  ""Criminal Investigation""
]",52080
Jp Morgan Chase And Co,3,Gilead Sciences Inc,First American Financial Corp,"[
  ""Removal""
]",660
Microsoft Corp,3,Celsion Corp,Smartheat Inc,"[
  ""Clinical Trial""
]",170
Alphabet Inc,3,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",960
Jp Morgan Chase And Co,3,Post Holdings Inc,Jandj Snack Foods Corp,"[
  ""Removal""
]",39
Jp Morgan Chase And Co,3,Webster Financial Corp,Fair Isaac Corp,"[
  ""Bankruptcy""
]",962244
Jp Morgan Chase And Co,2,Moodys Corp /De/,Santander Consumer Usa Holdings,"[
  ""Fraud""
]",1
Jp Morgan Chase And Co,3,Mosaic Company,Dynegy Inc,"[
  ""Bankruptcy""
]",832
Jp Morgan Chase And Co,3,Ugi Corp,Paa Natural Gas Storage Lp,"[
  ""Investigation"",
  ""Investigation""
]",187
Goldman Sachs Group Inc,3,Apollo Endosurgery Inc,Advanced Micro Devices Inc,"[
  ""Clinical Trial""
]",890483
Goldman Sachs Group Inc,3,Thomson Reuters Corp,Steinhoff International Holdings Nv,"[
  ""Accounting Fraud""
]",1596
Morgan Stanley International Holdings Inc,3,The Toronto-Dominion Bank,Sun Life Financial Inc,"[
  ""Disruption""
]",108378
Morgan Stanley International Holdings Inc,3,Energy Transfer Lp  1,Hercules Inc,"[
  ""Bankruptcy""
]",1045
Goldman Sachs Group Inc,2,Deutsche Bank,Cel Sci Corp,"[
  ""Research""
]",1
Morgan Stanley International Holdings Inc,3,Ford Motor Company,Metro Inc,"[
  ""Legal Dispute""
]",62660
Jp Morgan Chase And Co,2,Ligand Pharmaceuticals Inc,Blueprint Medicines Corp,"[
  ""Clinical Trial""
]",18
Morgan Stanley International Holdings Inc,3,Avangrid Inc,Uil Holdings Corp,"[
  ""Fraud""
]",75
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Davidstea Inc,"[
  ""Store Closure""
]",576
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Gsx Techedu Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Symantec Corp,Trend Micro Inc [Tok,"[
  ""Fraud""
]",6770
Goldman Sachs Group Inc,2,Uber Technologies Inc,Microsoft Corp,"[
  ""Removal""
]",781
Goldman Sachs Group Inc,3,Tronox Holdings Plc,Eramet Group,"[
  ""Investigation""
]",600
Goldman Sachs Group Inc,3,Post Holdings Inc,Diamond Foods Inc,"[
  ""Removal""
]",13
Goldman Sachs Group Inc,3,Codexis Inc,Takeda Pharmaceutical Co,"[
  ""Research""
]",430660
Goldman Sachs Group Inc,3,Agios Pharmaceuticals Inc,Agile Therapeutics Inc,"[
  ""Clinical Trial""
]",717
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Astrazeneca Plc,"[
  ""Clinical Trial""
]",1
Jp Morgan Chase And Co,3,Genuine Parts Company,Essendant Inc,"[
  ""Breach Of Contract""
]",354
Microsoft Corp,2,Nasdaq Inc,Endo International Plc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Occidental Petroleum Corp,Ypf Sociedad Anonima,"[
  ""Bankruptcy""
]",8350
Jp Morgan Chase And Co,3,Altria Group,General Motors Limited,"[
  ""Bankruptcy""
]",2354
Alphabet Inc,3,Sarepta Therapeutics,Daiichi Sankyo Co Ltd,"[
  ""Clinical Trial""
]",7200
Coca-Cola Company,2,Intercontinental Exchange,Herbalife Nutrition Ltd,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Honda Motor Company,Denso Corporation,"[
  ""Investigation""
]",7584
Coca-Cola Company,3,Energy Fuels Inc,Hallador Energy Co,"[
  ""Removal""
]",636
Coca-Cola Company,3,Bbx Capital Corp,Bluegreen Vacations Corp,"[
  ""Litigation""
]",48843
Coca-Cola Company,3,Document Security Systems Inc,Inventergy Global Inc,"[
  ""Litigation""
]",484
Coca-Cola Company,3,Jakks Pacific Inc,Kid Brands,"[
  ""Removal""
]",12
Coca-Cola Company,3,Crestwood Equity Partners Lp,China Natural Gas Inc,"[
  ""Reorganization""
]",280
Goldman Sachs Group Inc,3,Replimune Group Inc,Bristol-Myers Squibb Company,"[
  ""Clinical Trial""
]",496320
Coca-Cola Company,3,E Trade Financial Corp,Tribune Media Co,"[
  ""Bankruptcy""
]",4837
Coca-Cola Company,3,Analog Devices Sas,Taiwan Semiconductor Manufacturing,"[
  ""Disruption""
]",94740
Coca-Cola Company,3,Inseego Corp,Rbb Bancorp,"[
  ""Litigation""
]",48
Coca-Cola Company,3,Gap Inc,Inditex Sa,"[
  ""Investigation""
]",448
Coca-Cola Company,3,Tupperware Brands Corp,Kraft Foods Group Inc,"[
  ""Reorganization"",
  ""Reorganization""
]",5089
Pepsico Inc,3,Lsb Industries Inc,Leidos Holdings Inc,"[
  ""Investigation""
]",4508
Pepsico Inc,3,Metlife Inc,Brighthouse Financial Inc,"[
  ""Investigation"",
  ""Investigation""
]",32819
Coca-Cola Company,3,Hc2 Holdings Inc,Dbm Global Inc,"[
  ""Litigation""
]",408
Coca-Cola Company,1,Coca-Cola Company,Principal Financial Group Inc,"[
  ""Litigation""
]",936
Pepsico Inc,3,Hologic Inc,Conceptus Inc,"[
  ""Litigation""
]",114
Pepsico Inc,3,Facebook Inc,New York And Company,"[
  ""Investigation""
]",813
Pepsico Inc,3,Best Buy Co Inc,Bed Bath And Beyond Inc,"[
  ""Store Closure""
]",1239
Pepsico Inc,2,Nasdaq Inc,Townsquare Media Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Adobe Inc,T-Mobile Us,"[
  ""Breach""
]",2762937
Pepsico Inc,3,Nasdaq Inc,Atlantic Acquisition Corp,"[
  ""Breach""
]",1760
Alphabet Inc,3,Avis Budget Group Inc,Zipcar Inc,"[
  ""Investigation""
]",2250
Alphabet Inc,3,Eaton Corp Plc,Triumph Group Inc,"[
  ""Litigation""
]",4359
Alphabet Inc,3,Thomson Reuters Corp,Australia And New Zealand Bank,"[
  ""Litigation""
]",3978
Alphabet Inc,2,Nasdaq Inc,Icad Inc,"[
  ""Breach""
]",1
Microsoft Corp,3,Marriott International Inc /Md/,Altaba Inc,"[
  ""Breach""
]",1940890
Pepsico Inc,3,Amarin Corp Plc,Anchor Bancorp,"[
  ""Investigation"",
  ""Clinical Trial""
]",212
Pepsico Inc,3,Abraxas Petroleum Corp,Gasco Energy Inc,"[
  ""Bankruptcy""
]",8
Alphabet Inc,3,Google,Globant Sa,"[
  ""Disruption""
]",1050
Alphabet Inc,3,Agios Pharmaceuticals Inc,Rocket Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",140
Pepsico Inc,2,Nasdaq Inc,Symantec Corp,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Dycom Industries Inc,Goodman Global Inc,"[
  ""Litigation""
]",576
Coca-Cola Company,2,Bank Of America Corp,Blackberry Ltd,"[
  ""Hacking""
]",1
Coca-Cola Company,3,Kroger Company,Bmc Software Inc,"[
  ""Breach""
]",1775
Pepsico Inc,3,Comtech Telecommunications Corp /De/,Gilat Satellite Networks Ltd,"[
  ""Litigation"",
  ""Litigation""
]",126
Pepsico Inc,3,Skandinaviska Enskil,Celldex Therapeutics,"[
  ""Research""
]",1848
Pepsico Inc,2,Nasdaq Inc,Translate Bio Inc,"[
  ""Clinical Trial""
]",1
Microsoft Corp,3,Jakks Pacific Inc,Oaktree Capital Group Llc,"[
  ""Breach""
]",6024
Microsoft Corp,2,Bank Of America Corp,Marriott International Inc /Md/,"[
  ""Data Breach""
]",1
Microsoft Corp,3,Inseego Corp,Rbb Bancorp,"[
  ""Litigation""
]",12
Microsoft Corp,3,Sabre Corp,Pinnacle Airlines Corp,"[
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection""
]",39
Pepsico Inc,2,Jp Morgan Chase And Co,Assured Guaranty Ltd,"[
  ""Breach Of Contract""
]",130800
Alphabet Inc,3,Symantec Corp,Trend Micro Inc [Tok,"[
  ""Fraud""
]",9000
Alphabet Inc,2,Google,Rogers Corp,"[
  ""Arrest""
]",1
Jp Morgan Chase And Co,3,Aimmune Therapeutics Inc,Dbv Technologies Ads,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",288
Goldman Sachs Group Inc,2,Intercontinental Exchange,Novagold Resources Inc,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Sony Corp,Twitter Inc,"[
  ""Removal""
]",2160330
Morgan Stanley International Holdings Inc,2,Cbs Corp,Facebook Inc,"[
  ""Hacking""
]",97
Morgan Stanley International Holdings Inc,3,Cabot Oil And Gas Corp,Cabot Corp,"[
  ""Disruption""
]",10992
Goldman Sachs Group Inc,3,22nd Century Group Inc,Vector Ltd Ord,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",32
Jp Morgan Chase And Co,3,Sanmina Corp,Eastman Kodak Co,"[
  ""Reorganization""
]",66288
Microsoft Corp,3,Crestwood Equity Partners Lp,China Natural Gas Inc,"[
  ""Reorganization""
]",284
Microsoft Corp,3,Mplx Lp,Brixmor Property Group Inc,"[
  ""Breach""
]",1298841
Microsoft Corp,3,Mosys Inc,Dextera Surgical Inc,"[
  ""Reorganization""
]",20
Microsoft Corp,3,Fiat Chrysler Automobiles Nv,Suzuki Motor Corp,"[
  ""Investigation""
]",188
Alphabet Inc,3,On Semiconductor Corp,Synnex Technology International Corporation,"[
  ""Litigation""
]",716
Jp Morgan Chase And Co,3,Vereit Inc,Arc Group Inc,"[
  ""Litigation""
]",12944
Jp Morgan Chase And Co,3,Mcdermott Inc,Brookfield Dtla Fund Office Trust Investor Inc,"[
  ""Bankruptcy""
]",40
Jp Morgan Chase And Co,3,Emergent Biosolutions,Opiant Pharmaceuticals Inc,"[
  ""Litigation""
]",40
Alphabet Inc,2,Intercontinental Exchange,Contura Energy Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Marriott International Inc /Md/,Starwood Hotels And Resorts Worldwide Llc,"[
  ""Breach""
]",479
Jp Morgan Chase And Co,3,Wandt Offshore Inc,Hartford Financial Services Group Inc/De,"[
  ""Removal""
]",2332
Alphabet Inc,3,Cigna Corp,Pentair Plc,"[
  ""Investigation""
]",4568
Jp Morgan Chase And Co,2,Ligand Pharmaceuticals Inc,General Electric Company,"[
  ""Clinical Trial""
]",500
Jp Morgan Chase And Co,3,Amicus Therapeutics Inc,Eventbrite Inc,"[
  ""Clinical Trial""
]",228
Jp Morgan Chase And Co,3,Symantec Corp,Trend Micro Inc [Tok,"[
  ""Fraud""
]",5235
Goldman Sachs Group Inc,3,Lilly Eli And Co,Eagle Pharmaceuticals Inc,"[
  ""Litigation""
]",1212
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,Tailored Brands Inc,"[
  ""Bankruptcy""
]",1
Goldman Sachs Group Inc,3,Nasdaq Inc,News Corp,"[
  ""Investigation""
]",669695
Goldman Sachs Group Inc,3,Intuitive Surgical Inc,Navigators Group Inc,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",112
Morgan Stanley International Holdings Inc,3,Simon Property Group Inc /De/,Kimco Realty Corp,"[
  ""Bankruptcy""
]",24948
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Avaya Holdings Corp,"[
  ""Breach""
]",1
Morgan Stanley International Holdings Inc,3,Integer Holdings Corp,Nuvectra Corp,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",96
Goldman Sachs Group Inc,3,Halliburton Company,Firstenergy Corp,"[
  ""Investigation""
]",484582
Goldman Sachs Group Inc,3,Eldorado Resorts Llc,Standard Diversified Opportunities Inc,"[
  ""Removal""
]",1590
Morgan Stanley International Holdings Inc,3,Cit Group Inc,Landauer Inc,"[
  ""Litigation""
]",359
Goldman Sachs Group Inc,2,Bank Of America Corp,Countrywide Financial Corp,"[
  ""Litigation""
]",5202
Goldman Sachs Group Inc,3,Intercontinental Exchange,Nacco Industries Inc,"[
  ""Investigation""
]",643
Goldman Sachs Group Inc,2,Reata Pharmaceuticals Inc,Aptinyx Inc,"[
  ""Clinical Trial""
]",6
Morgan Stanley International Holdings Inc,2,Deutsche Bank,Wirecard Ag,"[
  ""Manipulation""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Publicis Groupe,"[
  ""Reorganization""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Fti Consulting Inc,"[
  ""Dispute""
]",1
Goldman Sachs Group Inc,3,Tata Motors Ltd,Punjab National Bank,"[
  ""Fraud""
]",3768
Coca-Cola Company,3,Ecolab Inc,Apergy Corp,"[
  ""Reorganization""
]",9126
Coca-Cola Company,3,White Mountains Insurance Group,Tribune Media Co,"[
  ""Bankruptcy""
]",8327
Coca-Cola Company,3,Jernigan Capital Inc,Yintech Investment Holdings Ltd,"[
  ""Breach""
]",8088
Coca-Cola Company,2,Bank Of America Corp,China Eastern Airlines Corp Ltd,"[
  ""Breach""
]",36480
Coca-Cola Company,3,Crossamerica Partners Lp,Alimentation Couche-Tard Inc,"[
  ""Fraud""
]",90
Coca-Cola Company,3,Credit Suisse Ag,Vtb Bank,"[
  ""Fraud""
]",1776
Coca-Cola Company,3,Myovant Sciences Ltd,Republic Services,"[
  ""Data Breach""
]",84288
Pepsico Inc,2,Nasdaq Inc,Inovio Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",1
Pepsico Inc,3,One Liberty Properties Inc,Cec Entertainment Inc,"[
  ""Bankruptcy""
]",6
Pepsico Inc,3,Stoneridge Inc,Ttm Technologies Inc,"[
  ""Removal""
]",58752
Pepsico Inc,3,Dish Network Corp,Realnetworks Inc,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",477
Coca-Cola Company,3,Intrexon Corp,Mustang Bio Inc,"[
  ""Clinical Trial""
]",40
Coca-Cola Company,3,G1 Therapeutics Inc,Triple P Nv,"[
  ""Clinical Trial""
]",9
Pepsico Inc,2,Intercontinental Exchange,Sonic Automotive Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Nasdaq Inc,Universal Logistics Holdings Inc,"[
  ""Shutdown""
]",108
Microsoft Corp,3,Morningstar Inc,Arch Coal Inc,"[
  ""Bankruptcy""
]",1329
Alphabet Inc,3,Td Ameritrade Holding Corp,Telephone And Data Systems Inc,"[
  ""Investigation""
]",33776
Alphabet Inc,3,Ultra Petroleum Corp,Sempra Energy,"[
  ""Breach Of Contract""
]",839290
Microsoft Corp,3,Fidelity National Information Services,Cbm Bancorp Inc,"[
  ""Litigation""
]",524
Alphabet Inc,2,Nasdaq Inc,Urban Outfitters Inc,"[
  ""Store Closure""
]",1
Microsoft Corp,3,Gt Advanced Technologies Inc,Overseas Shipholding Group Inc,"[
  ""Bankruptcy""
]",24
Alphabet Inc,3,Otonomy Inc,Auris Medical,"[
  ""Clinical Trial""
]",400
Microsoft Corp,3,Nasdaq Inc,Mannatech Inc,"[
  ""Litigation""
]",924
Microsoft Corp,3,Scotts Miracle-Gro Co,Aerogrow International Inc,"[
  ""Breach""
]",600
Pepsico Inc,3,Humana Inc,Hilfiger Tommy Corp,"[
  ""Fraud""
]",112
Microsoft Corp,2,Linkedin Corp,General Dynamics Corp,"[
  ""Investigation""
]",1081
Pepsico Inc,3,Altria Group,Pearson Plc,"[
  ""Litigation""
]",798
Coca-Cola Company,3,Webster Financial Corp,Pentair Plc,"[
  ""Litigation""
]",186704
Pepsico Inc,3,Anaptysbio Inc,Dermira Inc,"[
  ""Clinical Trial""
]",50
Pepsico Inc,3,Taubman Centers,Westfield Group,"[
  ""Breach""
]",588
Coca-Cola Company,2,Intercontinental Exchange,Aaron's Inc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Apple Inc,Under Armour,"[
  ""Data Breach""
]",1
Microsoft Corp,3,Citigroup Inc,China Evergrande Group,"[
  ""Protest""
]",740
Microsoft Corp,3,Intercontinental Exchange,Goldman Sachs Bdc Inc,"[
  ""Breach""
]",1008
Pepsico Inc,3,Hms Holdings Corp,Guidewire Software Inc,"[
  ""Removal""
]",388
Coca-Cola Company,3,Thomson Reuters Corp,The Swatch Group Ltd,"[
  ""Investigation""
]",5320
Microsoft Corp,3,Mgm Resorts,Tailored Brands Inc,"[
  ""Bankruptcy""
]",8952
Alphabet Inc,2,Google,America Movil Sab De Cv,"[
  ""Investigation""
]",1
Alphabet Inc,3,Kindred Healthcare Inc,Odyssey Healthcare Inc,"[
  ""Investigation""
]",30
Alphabet Inc,3,Comstock Holding Companies Inc,Uniti Group Inc,"[
  ""Setback""
]",130200
Microsoft Corp,3,Intercontinental Exchange,Cpi Aerostructures Inc,"[
  ""Investigation""
]",384
Alphabet Inc,3,Toyota Motor Corp,Aisin Seiki Co Ltd,"[
  ""Disruption""
]",144
Jp Morgan Chase And Co,3,Spectrum Pharmaceuticals Inc,Coherus Biosciences Inc,"[
  ""Research""
]",42
Jp Morgan Chase And Co,3,Arbor Realty Trust,Extended Stay America Inc,"[
  ""Bankruptcy""
]",4290
Jp Morgan Chase And Co,2,Ambac Financial Group Inc,Spx Corp,"[
  ""Litigation"",
  ""Breach""
]",1104
Microsoft Corp,3,Incyte Corp,Syndax Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",840
Pepsico Inc,3,Rigel Pharmaceuticals Inc,Signet Intl Hldgs Inc,"[
  ""Clinical Trial""
]",13
Microsoft Corp,3,Hp Inc,Eca Marcellus Trust I,"[
  ""Sanctions""
]",3715
Jp Morgan Chase And Co,3,Spire Corp,Stifel Financial Corp,"[
  ""Breach Of Contract""
]",230382
Jp Morgan Chase And Co,3,Barclays Plc,Eidos Therapeutics Inc,"[
  ""Clinical Trial""
]",180
Goldman Sachs Group Inc,3,Commerzbank Ag,Bnp Paribas,"[
  ""Sanctions""
]",360164
Goldman Sachs Group Inc,3,Adobe Inc,Keysight Technologies Inc,"[
  ""Shutdown""
]",13713
Goldman Sachs Group Inc,2,Huntsman Corp,Rockwood Holdings Inc,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",402
Morgan Stanley International Holdings Inc,3,Mallinckrodt Plc,Shire Plc,"[
  ""Litigation""
]",5865
Goldman Sachs Group Inc,3,Bwx Technologies Inc,Centrus Energy Corp,"[
  ""Reorganization""
]",425
Jp Morgan Chase And Co,3,Corvus Pharmaceuticals Inc,Surface Oncology Inc,"[
  ""Clinical Trial""
]",18
Microsoft Corp,3,Xencor Inc,Morphosys Ag,"[
  ""Clinical Trial""
]",5680
Microsoft Corp,3,Jernigan Capital Inc,Yintech Investment Holdings Ltd,"[
  ""Breach""
]",8724
Jp Morgan Chase And Co,3,Momenta Pharmaceuticals Inc,Alexion Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",90
Alphabet Inc,3,Quanta Services Inc,Tns Inc,"[
  ""Breach Of Contract""
]",1650
Goldman Sachs Group Inc,3,One Liberty Properties Inc,Cec Entertainment Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy Protection""
]",1701
Microsoft Corp,3,Rogers Corp,Rogers Communications Inc,"[
  ""Breach""
]",6618
Microsoft Corp,3,Zedge Inc,Voyager Digital (Canada) Ltd,"[
  ""Bankruptcy""
]",24
Microsoft Corp,3,Sorrento Therapeutics Inc,Immunomedics Inc,"[
  ""Breach Of Contract""
]",8595
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Tyson Foods Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,2,Intercontinental Exchange,Dean Foods Co,"[
  ""Research""
]",199
Jp Morgan Chase And Co,3,Bristol-Myers Squibb Company,Gilead Sciences Inc,"[
  ""Clinical Trial""
]",655655
Jp Morgan Chase And Co,2,Intercontinental Exchange,Sonic Corp,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Nasdaq Inc,Camden National Corp,"[
  ""Fraud""
]",730
Jp Morgan Chase And Co,3,Hon Hai Precision Industry Co Ltd,Qualcomm Inc/De,"[
  ""Breach""
]",121099
Goldman Sachs Group Inc,3,Xylem Inc,Harris Corp,"[
  ""Breach""
]",834
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Hanmi Financial Cp,"[
  ""Breach""
]",2064
Goldman Sachs Group Inc,3,Hershey Co,Stonegate Mortgage Corp,"[
  ""Investigation""
]",970
